ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_2437399	0.98185	6.23E-01	-0.5128864	-5.79926	-0.04753498		
ILMN_1223516	0.98185	6.23E-01	-0.5128685	-5.79927	-0.04661347	E130309F12Rik	RIKEN cDNA E130309F12 gene
ILMN_1217606	0.98185	6.23E-01	0.5128509	-5.79927	0.05829891	Fam101b	"family with sequence similarity 101, member B"
ILMN_1223123	0.98185	6.23E-01	0.5128455	-5.79928	0.05766595	Frk	fyn-related kinase
ILMN_2773169	0.98185	6.23E-01	-0.5128386	-5.79928	-0.04513453	Grb7	growth factor receptor bound protein 7
ILMN_2658687	0.98185	6.23E-01	-0.5127709	-5.79932	-0.04462906	Ltc4s	leukotriene C4 synthase
ILMN_1212823	0.98185	6.23E-01	0.5127421	-5.79933	0.04039673	Ror1	receptor tyrosine kinase-like orphan receptor 1
ILMN_1218316	0.98185	6.23E-01	-0.5125689	-5.79942	-0.04057572		
ILMN_2762418	0.98185	6.23E-01	-0.512563	-5.79942	-0.0565635	Dhx9	DEAH (Asp-Glu-Ala-His) box polypeptide 9
ILMN_1224733	0.98185	6.23E-01	0.5125153	-5.79945	0.05899394	Parp10	"poly (ADP-ribose) polymerase family, member 10"
ILMN_3142865	0.98185	6.23E-01	-0.5124947	-5.79946	-0.0561998	Unc13c	unc-13 homolog C (C. elegans)
ILMN_2617843	0.98185	6.23E-01	-0.5124537	-5.79948	-0.08094735	Slc9a6	"solute carrier family 9 (sodium/hydrogen exchanger), member 6"
ILMN_2499334	0.98185	6.23E-01	-0.5124222	-5.7995	-0.04815021		
ILMN_2690884	0.98185	6.23E-01	-0.5123315	-5.79955	-0.07345578	Olfr556	olfactory receptor 556
ILMN_2892280	0.98185	6.23E-01	0.5123296	-5.79955	0.03973451	Frmpd3	FERM and PDZ domain containing 3
ILMN_2466833	0.98185	6.23E-01	0.5123178	-5.79955	0.03785384		
ILMN_2714817	0.98185	6.23E-01	0.5122864	-5.79957	0.04132788	Tas1r2	"taste receptor, type 1, member 2"
ILMN_2670057	0.98185	6.23E-01	-0.512254	-5.79959	-0.04469511	Ttc36	tetratricopeptide repeat domain 36
ILMN_1232935	0.98185	6.23E-01	-0.5122496	-5.79959	-0.05013257		
ILMN_2872599	0.98185	6.23E-01	0.5122026	-5.79961	0.04741028	Ankrd54	ankyrin repeat domain 54
ILMN_1214208	0.98185	6.23E-01	0.5121896	-5.79962	0.05751754		
ILMN_2576431	0.98185	6.23E-01	-0.5121438	-5.79964	-0.05535685	Lpin2	lipin 2
ILMN_2679770	0.98185	6.23E-01	-0.5120756	-5.79968	-0.10486949	Mrpl9	mitochondrial ribosomal protein L9
ILMN_3160697	0.98185	6.23E-01	-0.512048	-5.79969	-0.05232225	Angel2	angel homolog 2 (Drosophila)
ILMN_2929221	0.98185	6.23E-01	0.5119788	-5.79973	0.0514551	Crlf3	cytokine receptor-like factor 3
ILMN_1220263	0.98185	6.23E-01	0.5119504	-5.79974	0.08609009	Cpsf7	cleavage and polyadenylation specific factor 7
ILMN_2924969	0.98185	6.23E-01	0.5118987	-5.79977	0.13178924	Gm1943	WD repeat domain 70 pseudogene
ILMN_1233554	0.98185	6.23E-01	0.5118645	-5.79979	0.1531517	Pbrm1	polybromo 1
ILMN_2949380	0.98185	6.23E-01	0.5118477	-5.7998	0.04184538	Thsd7b	"thrombospondin, type I, domain containing 7B"
ILMN_2709997	0.98185	6.23E-01	0.511814	-5.79981	0.04179875	Fam3b	"family with sequence similarity 3, member B"
ILMN_2608511	0.98185	6.23E-01	-0.5118007	-5.79982	-0.05175629	Cyp2j5	"cytochrome P450, family 2, subfamily j, polypeptide 5"
ILMN_2907241	0.98185	6.23E-01	0.5117732	-5.79984	0.06220058	Tmem90a	transmembrane protein 90a
ILMN_2510521	0.98185	6.23E-01	-0.5117558	-5.79984	-0.04938479	Slc1a5	"solute carrier family 1 (neutral amino acid transporter), member 5"
ILMN_3007767	0.98185	6.23E-01	-0.5116672	-5.79989	-0.05087991	Morn3	MORN repeat containing 3
ILMN_2484627	0.98185	6.23E-01	0.5116131	-5.79992	0.04881979	Zfr	zinc finger RNA binding protein
ILMN_2810937	0.98185	6.23E-01	-0.5116088	-5.79992	-0.06540184	Slc25a42	"solute carrier family 25, member 42"
ILMN_2651526	0.98185	6.23E-01	-0.5116021	-5.79992	-0.09463271	Slx4	SLX4 structure-specific endonuclease subunit homolog (S. cerevisiae)
ILMN_1227971	0.98185	6.24E-01	-0.5115523	-5.79995	-0.04335296	Hyal6	hyaluronoglucosaminidase 6
ILMN_2572779	0.98185	6.24E-01	0.5114987	-5.79998	0.04826561	Ccdc132	coiled-coil domain containing 132
ILMN_1224957	0.98185	6.24E-01	-0.5114426	-5.80001	-0.04168929		
ILMN_1225042	0.98185	6.24E-01	-0.5114205	-5.80002	-0.05419541	Zdhhc6	"zinc finger, DHHC domain containing 6"
ILMN_3161487	0.98185	6.24E-01	-0.511383	-5.80004	-0.05816655	Defb47	defensin beta 47
ILMN_2637886	0.98185	6.24E-01	0.5113519	-5.80005	0.09389822	Mybl2	myeloblastosis oncogene-like 2
ILMN_1234594	0.98185	6.24E-01	0.5113409	-5.80006	0.05292145	Rpgrip1	retinitis pigmentosa GTPase regulator interacting protein 1
ILMN_1214708	0.98185	6.24E-01	0.5113366	-5.80006	0.04934582	Rab22a	"RAB22A, member RAS oncogene family"
ILMN_2656079	0.98185	6.24E-01	0.5113221	-5.80007	0.059495	Dppa1	developmental pluripotency associated 1
ILMN_1223768	0.98185	6.24E-01	-0.5113143	-5.80007	-0.08347812	Lrch1	leucine-rich repeats and calponin homology (CH) domain containing 1
ILMN_2950622	0.98185	6.24E-01	0.5112414	-5.80011	0.08181502	Arhgdig	Rho GDP dissociation inhibitor (GDI) gamma
ILMN_1212650	0.98185	6.24E-01	0.5112115	-5.80013	0.07406346		
ILMN_2472606	0.98185	6.24E-01	0.5112047	-5.80013	0.04616846	Dbc1	deleted in bladder cancer 1 (human)
ILMN_1226395	0.98185	6.24E-01	-0.5111964	-5.80014	-0.05655139	Nod2	nucleotide-binding oligomerization domain containing 2
ILMN_1219333	0.98185	6.24E-01	-0.5111926	-5.80014	-0.08830954	Mgat5	mannoside acetylglucosaminyltransferase 5
ILMN_1241879	0.98185	6.24E-01	0.51115	-5.80016	0.04305315		
ILMN_1213692	0.98185	6.24E-01	0.5110289	-5.80022	0.07704988	Pcbp3	poly(rC) binding protein 3
ILMN_2836501	0.98185	6.24E-01	0.5109649	-5.80026	0.07647407	Rdh12	retinol dehydrogenase 12
ILMN_2669234	0.98185	6.24E-01	0.5109577	-5.80026	0.04032706	Dbh	dopamine beta hydroxylase
ILMN_2488343	0.98185	6.24E-01	-0.5109325	-5.80027	-0.05249849	Wdfy3	WD repeat and FYVE domain containing 3
ILMN_1232115	0.98185	6.24E-01	-0.5109101	-5.80028	-0.05549408	Rrp36	ribosomal RNA processing 36 homolog (S. cerevisiae)
ILMN_1233586	0.98185	6.24E-01	-0.5109058	-5.80029	-0.07514393	Dctn6	dynactin 6
ILMN_3028187	0.98185	6.24E-01	-0.5108646	-5.80031	-0.04367808	Kcnmb4	"potassium large conductance calcium-activated channel, subfamily M, beta member 4"
ILMN_2495743	0.98185	6.24E-01	0.5108488	-5.80032	0.04984105	Ldlrap1	low density lipoprotein receptor adaptor protein 1
ILMN_2948712	0.98185	6.24E-01	0.5108038	-5.80034	0.04050134	Prmt3	protein arginine N-methyltransferase 3
ILMN_2707245	0.98185	6.24E-01	0.510783	-5.80035	0.14105053	Rfwd2	ring finger and WD repeat domain 2
ILMN_2488783	0.98185	6.24E-01	0.5107263	-5.80038	0.04038672	B3galt6	"UDP-Gal:betaGal beta 1,3-galactosyltransferase, polypeptide 6"
ILMN_2625819	0.98185	6.24E-01	0.5106568	-5.80042	0.04612793	1700019N12Rik	RIKEN cDNA 1700019N12 gene
ILMN_3109076	0.98185	6.24E-01	0.5106044	-5.80044	0.05923794	Dcun1d2	"DCN1, defective in cullin neddylation 1, domain containing 2 (S. cerevisiae)"
ILMN_3018394	0.98185	6.24E-01	-0.5105651	-5.80046	-0.054271	Naaladl1	N-acetylated alpha-linked acidic dipeptidase-like 1
ILMN_1241077	0.98185	6.24E-01	0.510558	-5.80047	0.18942203	Hoxb4	homeobox B4
ILMN_2534259	0.98185	6.24E-01	-0.5105252	-5.80048	-0.06291626	Atad5	"ATPase family, AAA domain containing 5"
ILMN_2649363	0.98185	6.24E-01	-0.5104738	-5.80051	-0.07204521		
ILMN_1220631	0.98185	6.24E-01	0.510437	-5.80053	0.05857177		
ILMN_3141648	0.98185	6.24E-01	-0.5103241	-5.80059	-0.05787344	Mylk3	myosin light chain kinase 3
ILMN_1256492	0.98185	6.24E-01	-0.5103192	-5.80059	-0.0561589	Anxa6	annexin A6
ILMN_1228948	0.98185	6.24E-01	0.5103168	-5.80059	0.05083113	Ugt1a1	"UDP glucuronosyltransferase 1 family, polypeptide A1"
ILMN_1227807	0.98185	6.24E-01	0.510274	-5.80061	0.04573954	Gm1661	predicted gene 1661
ILMN_3089574	0.98185	6.24E-01	-0.510257	-5.80062	-0.04675883	Spag11b	sperm associated antigen 11B
ILMN_1254317	0.98185	6.24E-01	0.5102071	-5.80065	0.03694693		
ILMN_1239436	0.98185	6.24E-01	-0.5101999	-5.80065	-0.0489964	Pdlim7	PDZ and LIM domain 7
ILMN_2896341	0.98185	6.24E-01	0.5101632	-5.80067	0.06508355	Zfp709	zinc finger protein 709
ILMN_1221904	0.98185	6.24E-01	0.5101538	-5.80068	0.08026933	Uimc1	ubiquitin interaction motif containing 1
ILMN_1227800	0.98185	6.24E-01	0.510125	-5.80069	0.06781625	Npffr2	neuropeptide FF receptor 2
ILMN_2554403	0.98185	6.24E-01	0.510115	-5.8007	0.06634971	Crb1	crumbs homolog 1 (Drosophila)
ILMN_2841043	0.98185	6.25E-01	0.5099912	-5.80076	0.05737782	Maml1	mastermind like 1 (Drosophila)
ILMN_2613531	0.98185	6.25E-01	-0.5099808	-5.80077	-0.04613036		
ILMN_1240698	0.98185	6.25E-01	0.50997	-5.80077	0.04072728		
ILMN_2639805	0.98185	6.25E-01	-0.5099629	-5.80078	-0.04363348	Ogdh	oxoglutarate dehydrogenase (lipoamide)
ILMN_2660477	0.98185	6.25E-01	-0.5099442	-5.80079	-0.03893251	Ankra2	"ankyrin repeat, family A (RFXANK-like), 2"
ILMN_2786509	0.98185	6.25E-01	-0.5099352	-5.80079	-0.04076017	6720456H20Rik	RIKEN cDNA 6720456H20 gene
ILMN_2749669	0.98185	6.25E-01	-0.5099216	-5.8008	-0.07107414	Nr1d1	"nuclear receptor subfamily 1, group D, member 1"
ILMN_2528671	0.98185	6.25E-01	-0.5098848	-5.80082	-0.04112623		
ILMN_1252655	0.98185	6.25E-01	-0.5098817	-5.80082	-0.04389065	Sectm1b	secreted and transmembrane 1B
ILMN_1248381	0.98185	6.25E-01	-0.5098815	-5.80082	-0.10417139	Mat2b	"methionine adenosyltransferase II, beta"
ILMN_1222372	0.98185	6.25E-01	-0.5098077	-5.80086	-0.04736663		
ILMN_1213873	0.98185	6.25E-01	0.5097802	-5.80087	0.0378234	Fdx1	ferredoxin 1
ILMN_2599897	0.98185	6.25E-01	0.5097719	-5.80088	0.06579015	Srp68	signal recognition particle 68
ILMN_2752454	0.98185	6.25E-01	-0.5097653	-5.80088	-0.04416343	Nipal1	NIPA-like domain containing 1
ILMN_2871929	0.98185	6.25E-01	-0.5097382	-5.80089	-0.05803919		
ILMN_1244349	0.98185	6.25E-01	-0.5097334	-5.80089	-0.04705721	Klhl8	kelch-like 8 (Drosophila)
ILMN_2583439	0.98185	6.25E-01	-0.5097115	-5.80091	-0.04796165	Lpp	LIM domain containing preferred translocation partner in lipoma
ILMN_2666118	0.98185	6.25E-01	-0.5096671	-5.80093	-0.07121644	Adcy3	adenylate cyclase 3
ILMN_2683757	0.98185	6.25E-01	0.5096491	-5.80094	0.04159264	Spnb4	spectrin beta 4
ILMN_2499352	0.98185	6.25E-01	0.5096477	-5.80094	0.04198152		
ILMN_1248312	0.98185	6.25E-01	0.5096425	-5.80094	0.03993931	Prr5	proline rich 5 (renal)
ILMN_1257334	0.98185	6.25E-01	-0.5096312	-5.80095	-0.05160578	Cd1d2	CD1d2 antigen
ILMN_1214108	0.98185	6.25E-01	0.5096065	-5.80096	0.08557641	Tsfm	"Ts translation elongation factor, mitochondrial"
ILMN_1233991	0.98185	6.25E-01	0.5095907	-5.80097	0.06640288	Tmem63c	transmembrane protein 63c
ILMN_1260128	0.98185	6.25E-01	-0.50949	-5.80102	-0.04135864	Gm9978	predicted gene 9978
ILMN_2626535	0.98185	6.25E-01	0.5094772	-5.80103	0.08798229	Slc9a8	"solute carrier family 9 (sodium/hydrogen exchanger), member 8"
ILMN_1243503	0.98185	6.25E-01	0.5094495	-5.80104	0.0470583	Usp22	ubiquitin specific peptidase 22
ILMN_3160897	0.98185	6.25E-01	-0.5094373	-5.80105	-0.06733151	Gsk3a	glycogen synthase kinase 3 alpha
ILMN_2693124	0.98185	6.25E-01	-0.5093054	-5.80112	-0.04786851	Rab1b	"RAB1B, member RAS oncogene family"
ILMN_3054840	0.98185	6.25E-01	-0.5092346	-5.80115	-0.06424614	Fam82a1	"family with sequence similarity 82, member A1"
ILMN_1218994	0.98185	6.25E-01	0.5091927	-5.80118	0.04412409		
ILMN_1251133	0.98185	6.25E-01	0.509192	-5.80118	0.06139461	Cdcp2	CUB domain containing protein 2
ILMN_3034659	0.98185	6.25E-01	-0.509146	-5.8012	-0.06361325	Dzip1	DAZ interacting protein 1
ILMN_2867013	0.98185	6.25E-01	-0.50914	-5.8012	-0.08323332	Zfp160	zinc finger protein 160
ILMN_1221167	0.98185	6.25E-01	-0.5091379	-5.8012	-0.05211315		
ILMN_2679447	0.98185	6.25E-01	0.5091251	-5.80121	0.10292735	Agxt2l2	alanine-glyoxylate aminotransferase 2-like 2
ILMN_2771095	0.98185	6.25E-01	-0.5090353	-5.80126	-0.04878812	Kcnc4	"potassium voltage gated channel, Shaw-related subfamily, member 4"
ILMN_1219771	0.98185	6.25E-01	0.5090154	-5.80127	0.07368985		
ILMN_1215670	0.98185	6.25E-01	-0.508995	-5.80128	-0.05231917	Ttc39b	tetratricopeptide repeat domain 39B
ILMN_2644987	0.98185	6.25E-01	-0.5089538	-5.8013	-0.04238439	Daf2	decay accelerating factor 2
ILMN_2609919	0.98185	6.25E-01	0.5089273	-5.80131	0.04452941	Olfr1314	olfactory receptor 1314
ILMN_2614203	0.98185	6.25E-01	-0.5089251	-5.80131	-0.04598325	Casc4	cancer susceptibility candidate 4
ILMN_3114114	0.98185	6.25E-01	0.5088813	-5.80134	0.04301707	Dhrs7b	dehydrogenase/reductase (SDR family) member 7B
ILMN_3162084	0.98185	6.25E-01	-0.508878	-5.80134	-0.0595971	Ccdc108	coiled-coil domain containing 108
ILMN_2945073	0.98185	6.25E-01	0.5088301	-5.80136	0.14662684	Naa20	"N(alpha)-acetyltransferase 20, NatB catalytic subunit"
ILMN_2733828	0.98185	6.25E-01	-0.508798	-5.80138	-0.04516033		
ILMN_2769543	0.98185	6.25E-01	-0.5087969	-5.80138	-0.05126645		
ILMN_3004939	0.98185	6.25E-01	-0.5087808	-5.80139	-0.04543046	Cyp2c65	"cytochrome P450, family 2, subfamily c, polypeptide 65"
ILMN_2676012	0.98185	6.25E-01	0.5087291	-5.80142	0.04780225	Mybpc2	"myosin binding protein C, fast-type"
ILMN_2696191	0.98185	6.25E-01	0.5085979	-5.80148	0.04302298	Pip4k2c	"phosphatidylinositol-5-phosphate 4-kinase, type II, gamma"
ILMN_2418989	0.98185	6.25E-01	-0.5085657	-5.8015	-0.05055872	Pkp4	plakophilin 4
ILMN_1234717	0.98185	6.26E-01	0.5085575	-5.8015	0.05011363		
ILMN_1217148	0.98185	6.26E-01	-0.5085543	-5.80151	-0.05678924	6530406A20Rik	RIKEN cDNA 6530406A20 gene
ILMN_2640742	0.98185	6.26E-01	-0.5085484	-5.80151	-0.03978775	Ube2k	ubiquitin-conjugating enzyme E2K
ILMN_2595132	0.98185	6.26E-01	-0.5085079	-5.80153	-0.04977211	Vwa5b1	von Willebrand factor A domain containing 5B1
ILMN_2655488	0.98185	6.26E-01	-0.5084818	-5.80154	-0.06552275	Ap2b1	"adaptor-related protein complex 2, beta 1 subunit"
ILMN_1212605	0.98185	6.26E-01	-0.5084535	-5.80156	-0.05065121	1500011K16Rik	RIKEN cDNA 1500011K16 gene
ILMN_2885188	0.98185	6.26E-01	0.5084505	-5.80156	0.04065352	Sdk2	sidekick homolog 2 (chicken)
ILMN_2645368	0.98185	6.26E-01	0.5084444	-5.80156	0.06698763	Zfp763	zinc finger protein 763
ILMN_1257503	0.98185	6.26E-01	-0.5084253	-5.80157	-0.03923174	Tm9sf2	transmembrane 9 superfamily member 2
ILMN_2765510	0.98185	6.26E-01	0.5083768	-5.8016	0.05009075	Grid2ip	"glutamate receptor, ionotropic, delta 2 (Grid2) interacting protein 1"
ILMN_2429970	0.98185	6.26E-01	0.5083296	-5.80162	0.05063293	Ift122	intraflagellar transport 122
ILMN_1258057	0.98185	6.26E-01	0.5082742	-5.80165	0.05973416	Nek1	NIMA (never in mitosis gene a)-related expressed kinase 1
ILMN_1251811	0.98185	6.26E-01	-0.5082156	-5.80168	-0.04863464		
ILMN_2695098	0.98185	6.26E-01	0.5080923	-5.80174	0.0467777	Esrrg	estrogen-related receptor gamma
ILMN_1254930	0.98185	6.26E-01	0.5080683	-5.80176	0.05445618	Gpr61	G protein-coupled receptor 61
ILMN_2567433	0.98185	6.26E-01	-0.5080224	-5.80178	-0.06516459	Bicc1	bicaudal C homolog 1 (Drosophila)
ILMN_2895284	0.98185	6.26E-01	-0.5080011	-5.80179	-0.07308308	Ces2g	carboxylesterase 2G
ILMN_3161282	0.98185	6.26E-01	0.5079818	-5.8018	0.04885633	Dpysl5	dihydropyrimidinase-like 5
ILMN_2612283	0.98185	6.26E-01	-0.5079815	-5.8018	-0.06944891	Gata2	GATA binding protein 2
ILMN_2792143	0.98185	6.26E-01	0.5079807	-5.8018	0.04784812	Cd59b	CD59b antigen
ILMN_2650144	0.98185	6.26E-01	-0.5079399	-5.80182	-0.04651761		
ILMN_2691177	0.98185	6.26E-01	-0.5079391	-5.80182	-0.06263422	Uimc1	ubiquitin interaction motif containing 1
ILMN_1215832	0.98185	6.26E-01	0.5079246	-5.80183	0.04651708	Csmd3	CUB and Sushi multiple domains 3
ILMN_2698499	0.98185	6.26E-01	-0.5079221	-5.80183	-0.03920743	Nox4	NADPH oxidase 4
ILMN_1255492	0.98185	6.26E-01	0.5079002	-5.80184	0.055937	4932414J04Rik	RIKEN cDNA 4932414J04 gene
ILMN_2440449	0.98185	6.26E-01	-0.5078729	-5.80186	-0.0542805		
ILMN_2701207	0.98185	6.26E-01	0.5078661	-5.80186	0.05145721	Tma16	translation machinery associated 16 homolog (S. cerevisiae)
ILMN_2460672	0.98185	6.26E-01	-0.5078324	-5.80188	-0.0467877	Mogat1	monoacylglycerol O-acyltransferase 1
ILMN_2758849	0.98185	6.26E-01	0.5078319	-5.80188	0.04354017	4921528O07Rik	RIKEN cDNA 4921528O07 gene
ILMN_1237807	0.98185	6.26E-01	0.507698	-5.80195	0.06736926		
ILMN_2658741	0.98185	6.26E-01	-0.507695	-5.80195	-0.04142446	Tas2r107	"taste receptor, type 2, member 107"
ILMN_2636964	0.98185	6.26E-01	-0.5076316	-5.80198	-0.04393331	Nckap5	NCK-associated protein 5
ILMN_2675422	0.98185	6.26E-01	0.5075738	-5.80201	0.04638259	Klrb1b	killer cell lectin-like receptor subfamily B member 1B
ILMN_2598576	0.98185	6.26E-01	0.5075444	-5.80203	0.05909717	Parp2	"poly (ADP-ribose) polymerase family, member 2"
ILMN_2593584	0.98185	6.26E-01	0.5075298	-5.80203	0.07075451	Homer1	homer homolog 1 (Drosophila)
ILMN_1221546	0.98185	6.26E-01	-0.507509	-5.80205	-0.05327759	Trim9	tripartite motif-containing 9
ILMN_1259060	0.98185	6.26E-01	0.5074347	-5.80208	0.05582188	Fgf8	fibroblast growth factor 8
ILMN_1251238	0.98185	6.26E-01	-0.5074236	-5.80209	-0.04131967	Cdh23	cadherin 23 (otocadherin)
ILMN_2718552	0.98185	6.26E-01	0.5073909	-5.80211	0.07894312	Tchhl1	trichohyalin-like 1
ILMN_2487847	0.98185	6.26E-01	0.507389	-5.80211	0.08487722	Uhrf1bp1	UHRF1 (ICBP90) binding protein 1
ILMN_1217139	0.98185	6.26E-01	-0.507328	-5.80214	-0.04277682		
ILMN_2755195	0.98185	6.26E-01	-0.5073109	-5.80215	-0.04922975	Acin1	apoptotic chromatin condensation inducer 1
ILMN_1259555	0.98185	6.26E-01	-0.5073031	-5.80215	-0.05551899	Poteg	"POTE ankyrin domain family, member G"
ILMN_2608319	0.98185	6.26E-01	0.5073004	-5.80215	0.0467602	Klra7	"killer cell lectin-like receptor, subfamily A, member 7"
ILMN_2555140	0.98185	6.26E-01	0.5072954	-5.80216	0.07189924		
ILMN_2719650	0.98185	6.26E-01	-0.5072771	-5.80217	-0.04407791	Acot12	acyl-CoA thioesterase 12
ILMN_2841352	0.98185	6.26E-01	0.5072544	-5.80218	0.04461676	Nos2	"nitric oxide synthase 2, inducible"
ILMN_2605566	0.98185	6.26E-01	-0.5072491	-5.80218	-0.055483	Sdccag3	serologically defined colon cancer antigen 3
ILMN_2491759	0.98185	6.26E-01	-0.5072389	-5.80219	-0.06205163	Wnt6	wingless-related MMTV integration site 6
ILMN_2515964	0.98185	6.26E-01	0.5071177	-5.80225	0.06218844	Hspb1	heat shock protein 1
ILMN_1221161	0.98185	6.26E-01	-0.5071033	-5.80226	-0.05170018		
ILMN_1229729	0.98185	6.27E-01	-0.5070648	-5.80227	-0.09330196	Vti1a	vesicle transport through interaction with t-SNAREs homolog 1A (yeast)
ILMN_2600053	0.98185	6.27E-01	0.5070455	-5.80228	0.11747923	Slc25a11	"solute carrier family 25 (mitochondrial carrier oxoglutarate carrier), member 11"
ILMN_2825826	0.98185	6.27E-01	-0.5070322	-5.80229	-0.05130304	Btbd16	BTB (POZ) domain containing 16
ILMN_2823796	0.98185	6.27E-01	-0.5070121	-5.8023	-0.05581506	Mtf2	metal response element binding transcription factor 2
ILMN_2834451	0.98185	6.27E-01	0.5069991	-5.80231	0.08456597	Tusc2	tumor suppressor candidate 2
ILMN_1220027	0.98185	6.27E-01	0.506996	-5.80231	0.05746629	Lin28a	lin-28 homolog A (C. elegans)
ILMN_1241838	0.98185	6.27E-01	0.5069017	-5.80236	0.04477722	Cacna1g	"calcium channel, voltage-dependent, T type, alpha 1G subunit"
ILMN_1240692	0.98185	6.27E-01	-0.5068857	-5.80237	-0.03979195	Snap91	synaptosomal-associated protein 91
ILMN_2571657	0.98185	6.27E-01	0.5068714	-5.80237	0.0389253	Usp34	ubiquitin specific peptidase 34
ILMN_2624497	0.98185	6.27E-01	-0.5068494	-5.80239	-0.05017635	Psph	phosphoserine phosphatase
ILMN_3142299	0.98185	6.27E-01	0.5068208	-5.8024	0.03999304	Klri1	killer cell lectin-like receptor family I member 1
ILMN_2510875	0.98185	6.27E-01	-0.506801	-5.80241	-0.09126788	Dnajb9	"DnaJ (Hsp40) homolog, subfamily B, member 9"
ILMN_2915642	0.98185	6.27E-01	0.5067799	-5.80242	0.06103466	Ppp1r32	"protein phosphatase 1, regulatory subunit 32"
ILMN_1230896	0.98188	6.27E-01	0.5066987	-5.80246	0.05501879	Olfr395	olfactory receptor 395
ILMN_2533206	0.98188	6.27E-01	0.5066834	-5.80247	0.0567105		
ILMN_1240993	0.98188	6.27E-01	0.5066529	-5.80249	0.04724013		
ILMN_2639035	0.9819	6.27E-01	-0.5065751	-5.80253	-0.05148877	2410004B18Rik	RIKEN cDNA 2410004B18 gene
ILMN_2909283	0.9819	6.27E-01	-0.5065118	-5.80256	-0.11215512	Tmem120b	transmembrane protein 120B
ILMN_1245504	0.9819	6.27E-01	0.5064508	-5.80259	0.10766024		
ILMN_2729431	0.9819	6.27E-01	0.506431	-5.8026	0.05107819	Lrp5	low density lipoprotein receptor-related protein 5
ILMN_1229670	0.9819	6.27E-01	0.5064004	-5.80262	0.08210481	Mettl1	methyltransferase like 1
ILMN_1230452	0.9819	6.27E-01	-0.5063602	-5.80264	-0.04756695		
ILMN_2563716	0.9819	6.27E-01	-0.5063553	-5.80264	-0.08638426	Mospd2	motile sperm domain containing 2
ILMN_2481238	0.9819	6.27E-01	-0.5063493	-5.80264	-0.04476184		
ILMN_2935093	0.9819	6.27E-01	0.5063394	-5.80265	0.05660011	AF366264	cDNA sequence AF366264
ILMN_1216587	0.98191	6.27E-01	-0.5062496	-5.8027	-0.05209566	4732460I02Rik	RIKEN cDNA 4732460I02 gene
ILMN_2433719	0.98191	6.27E-01	-0.5062093	-5.80272	-0.04837216		
ILMN_2997695	0.98191	6.27E-01	0.5061982	-5.80272	0.0559543	Spata31d1d	"spermatogenesis associated 31 subfamily D, member 1D"
ILMN_2634582	0.98191	6.27E-01	0.5061962	-5.80272	0.03955637	Ddx27	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27
ILMN_1240081	0.98191	6.27E-01	-0.5061569	-5.80274	-0.03882511	Pla2g3	"phospholipase A2, group III"
ILMN_2770304	0.98191	6.27E-01	-0.5061207	-5.80276	-0.04558123	Cacna1b	"calcium channel, voltage-dependent, N type, alpha 1B subunit"
ILMN_2443237	0.98191	6.27E-01	-0.5060989	-5.80277	-0.04319022	Tex24	testis expressed gene 24
ILMN_1219191	0.98191	6.27E-01	0.5060335	-5.80281	0.10699967	LOC621549	uncharacterized LOC621549
ILMN_1233138	0.98191	6.27E-01	0.5059005	-5.80287	0.04115203	Ifna2	interferon alpha 2
ILMN_2955725	0.98191	6.27E-01	0.5058617	-5.80289	0.04760203	Cort	cortistatin
ILMN_1243882	0.98191	6.27E-01	0.5058528	-5.8029	0.04137856		
ILMN_2610594	0.98191	6.27E-01	0.5058408	-5.80291	0.05847027	Lce3f	late cornified envelope 3F
ILMN_1233607	0.98191	6.27E-01	0.5058352	-5.80291	0.08396553		
ILMN_2631892	0.98191	6.27E-01	0.5057917	-5.80293	0.05887015	Pafah2	platelet-activating factor acetylhydrolase 2
ILMN_3096250	0.98191	6.27E-01	0.5057825	-5.80294	0.13318067	Coil	coilin
ILMN_2833781	0.98191	6.27E-01	-0.5057561	-5.80295	-0.08418303	Pwwp2b	PWWP domain containing 2B
ILMN_3104271	0.98191	6.27E-01	-0.5057441	-5.80296	-0.04656662	Abcc9	"ATP-binding cassette, sub-family C (CFTR/MRP), member 9"
ILMN_2540094	0.98191	6.27E-01	0.5056538	-5.803	0.04240909		
ILMN_2426436	0.98191	6.27E-01	-0.5056011	-5.80303	-0.04251951		
ILMN_1236345	0.98191	6.28E-01	0.5055715	-5.80304	0.0408022	Dcp1b	DCP1 decapping enzyme homolog B (S. cerevisiae)
ILMN_1222516	0.98191	6.28E-01	0.505528	-5.80307	0.08320684	Med8	"mediator of RNA polymerase II transcription, subunit 8 homolog (yeast)"
ILMN_1224330	0.98191	6.28E-01	-0.5055176	-5.80307	-0.06372681	Tnp2	transition protein 2
ILMN_2629794	0.98191	6.28E-01	0.5055026	-5.80308	0.06660301	Gzmf	granzyme F
ILMN_1246014	0.98191	6.28E-01	-0.505387	-5.80314	-0.04506884		
ILMN_1232417	0.98191	6.28E-01	0.5053771	-5.80314	0.05661082		
ILMN_2634484	0.98191	6.28E-01	0.5053526	-5.80316	0.04501734	Tectb	tectorin beta
ILMN_1220776	0.98191	6.28E-01	0.5053518	-5.80316	0.05048202	Pcif1	PDX1 C-terminal inhibiting factor 1
